,type,id,attributes.adjusted_odds,attributes.board_time,attributes.custom_image,attributes.description,attributes.end_time,attributes.flash_sale_line_score,attributes.game_id,attributes.hr_20,attributes.in_game,attributes.is_live,attributes.is_promo,attributes.line_score,attributes.odds_type,attributes.projection_type,attributes.rank,attributes.refundable,attributes.start_time,attributes.stat_display_name,attributes.stat_type,attributes.status,attributes.today,attributes.tv_channel,attributes.updated_at,relationships.duration.data.type,relationships.duration.data.id,relationships.game.data.type,relationships.game.data.id,relationships.league.data.type,relationships.league.data.id,relationships.new_player.data.type,relationships.new_player.data.id,relationships.projection_type.data.type,relationships.projection_type.data.id,relationships.score.data,relationships.stat_type.data.type,relationships.stat_type.data.id,relationships.stat_average.data.type,relationships.stat_average.data.id,attributes.trending_count,type_new_player,id_new_player,attributes.combo,attributes.display_name,attributes.image_url,attributes.league,attributes.league_id,attributes.name,attributes.position,attributes.team,relationships.league.data.type_new_player,relationships.league.data.id_new_player,relationships.team_data.data.type,relationships.team_data.data.id
862,projection,3973451,True,2025-02-26T10:30:00-05:00,,SAS,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,2.5,demon,Single Stat,475,True,2025-02-26T21:40:00-05:00,Blocked Shots,Blocked Shots,pre_game,True,,2025-02-26T12:11:59-05:00,duration,11,game,49656,league,7,new_player,174285,projection_type,2,,stat_type,21,stat_average,80137,,new_player,174285,False,Amen Thompson,https://static.prizepicks.com/images/players/NBA/Amen_Thompson_NBA_player_YKCbinXHVe753NXAaHDwOmLb.webp,NBA,7.0,Amen Thompson,G-F,HOU,league,7,team,209
863,projection,3973293,True,2025-02-26T10:30:00-05:00,,HOU,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,2.5,demon,Single Stat,475,True,2025-02-26T21:40:00-05:00,3-PT Made,3-PT Made,pre_game,True,,2025-02-26T10:49:58-05:00,duration,11,game,49656,league,7,new_player,56347,projection_type,2,,stat_type,31,stat_average,89063,,new_player,56347,False,Devin Vassell,https://static.prizepicks.com/images/players/NBA/Devin_Vassell_NBA_player_1FsPF0NOGQH4fepI0eeG7MYw.webp,NBA,7.0,Devin Vassell,G-F,SAS,league,7,team,870
864,projection,3973453,True,2025-02-26T10:30:00-05:00,,SAS,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,19.5,demon,Single Stat,475,True,2025-02-26T21:40:00-05:00,Points,Points,pre_game,True,,2025-02-26T10:50:04-05:00,duration,11,game,49656,league,7,new_player,174285,projection_type,2,,stat_type,19,stat_average,78944,,new_player,174285,False,Amen Thompson,https://static.prizepicks.com/images/players/NBA/Amen_Thompson_NBA_player_YKCbinXHVe753NXAaHDwOmLb.webp,NBA,7.0,Amen Thompson,G-F,HOU,league,7,team,209
865,projection,3973289,True,2025-02-26T10:30:00-05:00,,SAS,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,6.5,demon,Single Stat,475,True,2025-02-26T21:40:00-05:00,Rebounds,Rebounds,pre_game,True,,2025-02-26T11:08:22-05:00,duration,11,game,49656,league,7,new_player,173587,projection_type,2,,stat_type,22,stat_average,75492,,new_player,173587,False,Dillon Brooks,https://static.prizepicks.com/images/players/NBA/Dillon_Brooks_NBA_player_doYyaSQoRd6hmm42xjHs1oP.webp,NBA,7.0,Dillon Brooks,G-F,HOU,league,7,team,209
866,projection,3973283,True,2025-02-26T10:30:00-05:00,,SAS,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,0.5,demon,Single Stat,475,True,2025-02-26T21:40:00-05:00,Blocked Shots,Blocked Shots,pre_game,True,,2025-02-26T10:55:08-05:00,duration,11,game,49656,league,7,new_player,173587,projection_type,2,,stat_type,21,stat_average,82254,,new_player,173587,False,Dillon Brooks,https://static.prizepicks.com/images/players/NBA/Dillon_Brooks_NBA_player_doYyaSQoRd6hmm42xjHs1oP.webp,NBA,7.0,Dillon Brooks,G-F,HOU,league,7,team,209
867,projection,3973447,True,2025-02-26T10:30:00-05:00,,SAS,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,0.5,demon,Single Stat,475,True,2025-02-26T21:40:00-05:00,3-PT Made,3-PT Made,pre_game,True,,2025-02-26T10:34:40-05:00,duration,11,game,49656,league,7,new_player,174285,projection_type,2,,stat_type,31,stat_average,80948,,new_player,174285,False,Amen Thompson,https://static.prizepicks.com/images/players/NBA/Amen_Thompson_NBA_player_YKCbinXHVe753NXAaHDwOmLb.webp,NBA,7.0,Amen Thompson,G-F,HOU,league,7,team,209
868,projection,3973290,True,2025-02-26T10:30:00-05:00,,SAS,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,0.5,goblin,Single Stat,475,True,2025-02-26T21:40:00-05:00,Steals,Steals,pre_game,True,,2025-02-26T11:59:55-05:00,duration,11,game,49656,league,7,new_player,173587,projection_type,2,,stat_type,23,stat_average,75573,,new_player,173587,False,Dillon Brooks,https://static.prizepicks.com/images/players/NBA/Dillon_Brooks_NBA_player_doYyaSQoRd6hmm42xjHs1oP.webp,NBA,7.0,Dillon Brooks,G-F,HOU,league,7,team,209
869,projection,3975947,True,2025-02-26T16:15:00-05:00,,HOU,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,19.5,demon,Single Stat,475,True,2025-02-26T21:40:00-05:00,Pts+Rebs,Pts+Rebs,pre_game,True,,2025-02-26T18:38:25-05:00,duration,11,game,49656,league,7,new_player,55140,projection_type,2,,stat_type,243,stat_average,76648,,new_player,55140,False,Keldon Johnson,https://static.prizepicks.com/images/players/NBA/Keldon_Johnson_NBA_player_ytnN6jT7zYkcukGvVWoYp2zk.webp,NBA,7.0,Keldon Johnson,F-G,SAS,league,7,team,870
870,projection,3973351,True,2025-02-26T10:30:00-05:00,,HOU,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,3.5,goblin,Single Stat,475,True,2025-02-26T21:40:00-05:00,Rebounds,Rebounds,pre_game,True,,2025-02-26T10:43:47-05:00,duration,11,game,49656,league,7,new_player,226913,projection_type,2,,stat_type,22,stat_average,118712,,new_player,226913,False,De'Aaron Fox,https://static.prizepicks.com/images/players/NBA/De'Aaron_Fox_NBA_player_ey65igBBNutBRz0ibXh85IuZ.webp,NBA,7.0,De'Aaron Fox,G,SAS,league,7,team,870
871,projection,3975945,True,2025-02-26T16:15:00-05:00,,HOU,,,NBA_game_qDVupoDoK6WagzWgRtGgs5e2,True,False,False,False,19.5,demon,Single Stat,475,True,2025-02-26T21:40:00-05:00,Pts+Asts,Pts+Asts,pre_game,True,,2025-02-26T18:11:41-05:00,duration,11,game,49656,league,7,new_player,55140,projection_type,2,,stat_type,244,stat_average,76656,,new_player,55140,False,Keldon Johnson,https://static.prizepicks.com/images/players/NBA/Keldon_Johnson_NBA_player_ytnN6jT7zYkcukGvVWoYp2zk.webp,NBA,7.0,Keldon Johnson,F-G,SAS,league,7,team,870
